48.86,42,49,57,64,1.35678609983751,1.24550059746225,1.15621146584357,0,"All Metals Scrapyard  km on left.  START of REGULARITY.","All Metals Scrapyard  km on left.  START of REGULARITY.","All Metals Scrapyard  km on left.  START of REGULARITY.","All Metals Scrapyard  km on left.  START of REGULARITY."
57.33,30,35,40,45,1.55845276650417,1.41835774031939,1.30480795707164,0,"60 Speed limit. Start of OPEN SECTION.","60 Speed limit. Start of OPEN SECTION.","60 Speed limit. Start of OPEN SECTION.","60 Speed limit. Start of OPEN SECTION."
58.11,35,40,45,50,1.58445276650417,1.44064345460511,1.32430795707164,0,"High Accident zone. Slow down.  Be Careful of bad road surface.","High Accident zone. Slow down.  Be Careful of bad road surface.","High Accident zone. Slow down.  Be Careful of bad road surface.","High Accident zone. Slow down.  Be Careful of bad road surface."
58.46,35,40,45,50,1.59445276650417,1.44939345460511,1.33208573484942,0,"Traffic Light Carry Straight On","Traffic Light Carry Straight On","Traffic Light Carry Straight On","Traffic Light Carry Straight On"
59.6,30,35,40,45,1.6270241950756,1.47789345460511,1.35741906818276,0,"Traffic Light.  Carry straight on.","Traffic Light.  Carry straight on.","Traffic Light.  Carry straight on.","Traffic Light.  Carry straight on."
60.45,30,30,30,30,1.65535752840894,1.50217916889082,1.37866906818276,0,"Traffic Light","Traffic Light","Traffic Light","Traffic Light"
61.04,30,30,30,30,1.6750241950756,1.52184583555749,1.39833573484942,0,"Traffic light carry straight on.","Traffic light carry straight on.","Traffic light carry straight on.","Traffic light carry straight on."
61.15,30,30,30,30,1.67869086174227,1.52551250222415,1.40200240151609,0,"Take slip road before traffic light. ( French Rd)","Take slip road before traffic light. ( French Rd)","Take slip road before traffic light. ( French Rd)","Take slip road before traffic light. ( French Rd)"
61.44,30,30,30,30,1.68835752840894,1.53517916889082,1.41166906818276,0,"Traffic light carry straight on through one more traffic light.","Traffic light carry straight on through one more traffic light.","Traffic light carry straight on through one more traffic light.","Traffic light carry straight on through one more traffic light."
62.53,30,30,30,30,1.72469086174227,1.57151250222415,1.44800240151609,0,"Bridge.","Bridge.","Bridge.","Bridge."
63.15,30,30,30,30,1.74535752840894,1.59217916889082,1.46866906818276,0,"Traffic light. TURN RIGHT in to Moses Mabhida Rd.","Traffic light. TURN RIGHT in to Moses Mabhida Rd.","Traffic light. TURN RIGHT in to Moses Mabhida Rd.","Traffic light. TURN RIGHT in to Moses Mabhida Rd."
63.55,0,0,0,0,1.75869086174227,1.60551250222415,1.48200240151609,0,"Entrace to Shell service station.  This is your fuel stop.","Entrace to Shell service station.  This is your fuel stop.","Entrace to Shell service station.  This is your fuel stop.","Entrace to Shell service station.  This is your fuel stop."
63.55,0,0,0,0,1.75869086174227,1.60551250222415,1.48200240151609,0,"For refueling you have - [Time added: 15 minutes]","For refueling you have - [Time added: 20 minutes]","For refueling you have - [Time added: 20 minutes]","For refueling you have - [Time added: 25 minutes]"
63.55,30,30,30,30,2.00869086174227,1.93884583555749,1.81533573484942,0,"After refueling continue in the same direction as before.","After refueling continue in the same direction as before.","After refueling continue in the same direction as before.","After refueling continue in the same direction as before."
63.97,30,30,30,30,2.02269086174227,1.95284583555749,1.82933573484942,0,"Traffic light Turn LEFT under Railway line.","Traffic light Turn LEFT under Railway line.","Traffic light Turn LEFT under Railway line.","Traffic light Turn LEFT under Railway line."
64.59,30,30,30,30,2.04335752840894,1.97351250222415,1.85000240151609,0,"Bear RIGHT into Sherwood.","Bear RIGHT into Sherwood.","Bear RIGHT into Sherwood.","Bear RIGHT into Sherwood."
64.87,30,30,30,30,2.05269086174227,1.98284583555749,1.85933573484942,0,"Continue STRAIGHT it is now Eugene Marais Rd","Continue STRAIGHT it is now Eugene Marais Rd","Continue STRAIGHT it is now Eugene Marais Rd","Continue STRAIGHT it is now Eugene Marais Rd"
65.41,30,30,30,30,2.07069086174227,2.00084583555749,1.87733573484942,0,"Turn RIGHT into Roy Campbell road .","Turn RIGHT into Roy Campbell road .","Turn RIGHT into Roy Campbell road .","Turn RIGHT into Roy Campbell road ."
66.79,30,30,30,30,2.11669086174227,2.04684583555749,1.92333573484942,0,"STOP T Junction. Turn RIGHT (This is Neville Rd )","STOP T Junction. Turn RIGHT (This is Neville Rd )","STOP T Junction. Turn RIGHT (This is Neville Rd )","STOP T Junction. Turn RIGHT (This is Neville Rd )"
67.43,36,36,36,36,2.1380241950756,2.06817916889082,1.94466906818276,0,"Traffic light.  T-Junction Turn LEFT.  This is Zwartkop Rd","Traffic light.  T-Junction Turn LEFT.  This is Zwartkop Rd","Traffic light.  T-Junction Turn LEFT.  This is Zwartkop Rd","Traffic light.  T-Junction Turn LEFT.  This is Zwartkop Rd"
69.14,36,36,36,36,2.1855241950756,2.11567916889082,1.99216906818276,0,"Warning - General Warning. Potholes.","Warning - General Warning. Potholes.","Warning - General Warning. Potholes.","Warning - General Warning. Potholes."
72.65,35,35,35,35,2.2830241950756,2.21317916889082,2.08966906818276,0,"60 Speed limit.","60 Speed limit.","60 Speed limit.","60 Speed limit."
